Display Name, Service Name, Startup Type
Windows Biometric Service, WbioSrvc, Manual
Windows Color System, WcsPlugInService, Manual
Windows Connect Now - Config Registrar, wcncsvc, Manual
Windows Connection Manager, Wcmsvc, Automatic
Windows Defender Network Inspection Service, WdNisSvc, Manual
Windows Defender Service, WinDefend, Automatic
Windows Defender Firewall, MpsSvc, Automatic
Windows Defender Advanced Threat Protection Service, Sense, Manual
Windows Driver Foundation - User-mode Driver Framework, wudfsvc, Manual
Windows Encryption Provider Host Service, WEPHOSTSVC, Manual
Windows Error Reporting Service, WerSvc, Manual
Windows Event Collector, Wecsvc, Manual
Windows Event Log, EventLog, Automatic
Windows Font Cache Service, FontCache, Automatic
Windows Image Acquisition (WIA), StiSvc, Manual
Windows Installer, msiserver, Manual
Windows License Manager Service, LicenseManager, Manual
Windows Management Instrumentation, Winmgmt, Automatic
Windows Media Player Network Sharing Service, WMPNetworkSvc, Manual
Windows Mobile Hotspot Service, icssvc, Manual
Windows Modules Installer, TrustedInstaller, Manual
Windows Push Notifications Service, WpnService, Manual
Windows Remote Management (WS-Management), WinRM, Manual
Windows Search, WSearch, Automatic (Delayed Start)
Windows Store Service (WSService), WSService, Manual
Windows Time, W32Time, Manual
Windows Update, wuauserv, Manual
WinHTTP Web Proxy Auto-Discovery Service, WinHttpAutoProxySvc, Manual
Wired AutoConfig, dot3svc, Manual
WLAN AutoConfig, Wlansvc, Manual
WMI Performance Adapter, wmiApSrv, Manual
Work Folders, workfolderssvc, Manual
Workstation, LanmanWorkstation, Automatic
WWAN AutoConfig, WwanSvc, Manual
Xbox Live Auth Manager, XblAuthManager, Manual
Xbox Live Game Save, XblGameSave, Manual
XboxNetApiSvc, XboxNetApiSvc, Manual




TODOOOOOO: try to reboot to linux and rename windows defender and then sc config disable wd services


